i,j,dist
0,5,0.0000
0,6,0.0000
0,7,0.0000
0,8,0.0000
0,9,0.0000
0,10,0.0000
0,11,0.0000
0,12,0.0000
0,13,0.0021
0,14,0.0021
0,15,0.0124
0,16,0.0885
0,17,0.2622
0,18,0.4511
0,19,0.5635
0,20,0.5787
0,21,0.4689
0,22,0.2981
0,23,0.1431
0,24,0.2309
0,25,0.4330
0,26,0.6036
0,27,0.6152
0,28,0.4806
0,29,0.2464
0,30,0.1882
0,31,0.3612
0,32,0.5748
0,33,0.7021
0,34,0.6003
0,35,0.4425
0,36,0.2202
0,37,0.1206
0,38,0.2873
0,39,0.5064
0,40,0.6763
0,41,0.7240
0,42,0.6421
0,43,0.4802
0,44,0.3295
0,45,0.2156
0,46,0.1677
0,47,0.0850
0,48,0.0335
0,49,0.0444
0,50,0.0490
0,51,0.0490
0,52,0.0454
0,53,0.0455
0,54,0.0513
0,55,0.0552
0,56,0.0552
0,57,0.0552
0,58,0.0552
0,59,0.0552
0,60,0.0552
0,61,0.0552
0,62,0.0552
0,63,0.0552
0,64,0.0552
0,65,0.0552
0,66,0.0552
0,67,0.0552
0,68,0.0552
0,69,0.0552
1,6,0.0000
1,7,0.0000
1,8,0.0000
1,9,0.0000
1,10,0.0000
1,11,0.0000
1,12,0.0000
1,13,0.0021
1,14,0.0021
1,15,0.0124
1,16,0.0885
1,17,0.2622
1,18,0.4511
1,19,0.5635
1,20,0.5787
1,21,0.4689
1,22,0.2981
1,23,0.1431
1,24,0.2309
1,25,0.4330
1,26,0.6036
1,27,0.6152
1,28,0.4806
1,29,0.2464
1,30,0.1882
1,31,0.3612
1,32,0.5748
1,33,0.7021
1,34,0.6003
1,35,0.4425
1,36,0.2202
1,37,0.1206
1,38,0.2873
1,39,0.5064
1,40,0.6763
1,41,0.7240
1,42,0.6421
1,43,0.4802
1,44,0.3295
1,45,0.2156
1,46,0.1677
1,47,0.0850
1,48,0.0335
1,49,0.0444
1,50,0.0490
1,51,0.0490
1,52,0.0454
1,53,0.0455
1,54,0.0513
1,55,0.0552
1,56,0.0552
1,57,0.0552
1,58,0.0552
1,59,0.0552
1,60,0.0552
1,61,0.0552
1,62,0.0552
1,63,0.0552
1,64,0.0552
1,65,0.0552
1,66,0.0552
1,67,0.0552
1,68,0.0552
1,69,0.0552
2,7,0.0000
2,8,0.0000
2,9,0.0000
2,10,0.0000
2,11,0.0000
2,12,0.0000
2,13,0.0021
2,14,0.0021
2,15,0.0124
2,16,0.0885
2,17,0.2622
2,18,0.4511
2,19,0.5635
2,20,0.5787
2,21,0.4689
2,22,0.2981
2,23,0.1431
2,24,0.2309
2,25,0.4330
2,26,0.6036
2,27,0.6152
2,28,0.4806
2,29,0.2464
2,30,0.1882
2,31,0.3612
2,32,0.5748
2,33,0.7021
2,34,0.6003
2,35,0.4425
2,36,0.2202
2,37,0.1206
2,38,0.2873
2,39,0.5064
2,40,0.6763
2,41,0.7240
2,42,0.6421
2,43,0.4802
2,44,0.3295
